,date,color -- streamlit-generated,value -- streamlit-generated
212,2023-08-01T00:00:00.000,model,6833.5338427108145
213,2023-08-02T00:00:00.000,model,3311.778418516601
214,2023-08-03T00:00:00.000,model,1496361.7241936985
215,2023-08-04T00:00:00.000,model,447268.34607011516
216,2023-08-05T00:00:00.000,model,191809.80993891734
217,2023-08-06T00:00:00.000,model,85781.30297943775
218,2023-08-07T00:00:00.000,model,39571.18729273498
219,2023-08-08T00:00:00.000,model,3755526.258218155
220,2023-08-09T00:00:00.000,model,63172855.291846
221,2023-08-10T00:00:00.000,model,55966138.38734101
222,2023-08-11T00:00:00.000,model,22969784.100420296
223,2023-08-12T00:00:00.000,model,9003784.422355674
224,2023-08-13T00:00:00.000,model,3941057.039538964
225,2023-08-14T00:00:00.000,model,1780017.971835818
226,2023-08-15T00:00:00.000,model,840226.6583185738
227,2023-08-16T00:00:00.000,model,398105.0417655379
228,2023-08-17T00:00:00.000,model,27096488.74114502
229,2023-08-18T00:00:00.000,model,10712804.763093764
230,2023-08-19T00:00:00.000,model,4143307.862174341
231,2023-08-20T00:00:00.000,model,1813360.0833064807
232,2023-08-21T00:00:00.000,model,2315186.42512325
233,2023-08-22T00:00:00.000,model,828062.7589859301
234,2023-08-23T00:00:00.000,model,377204.08103298536
235,2023-08-24T00:00:00.000,model,174785.82366696122
236,2023-08-25T00:00:00.000,model,82631.80078505052
237,2023-08-26T00:00:00.000,model,39585.60654114661
238,2023-08-27T00:00:00.000,model,11229750.36983672
239,2023-08-28T00:00:00.000,model,3375335.7948868657
240,2023-08-29T00:00:00.000,model,1448759.957146789
241,2023-08-30T00:00:00.000,model,3637845.9017334916
242,2023-08-31T00:00:00.000,model,1206086.8556170147
243,2023-09-01T00:00:00.000,model,10255506.985292656
244,2023-09-02T00:00:00.000,model,3192456.00257194
245,2023-09-03T00:00:00.000,model,1381102.3064251454
246,2023-09-04T00:00:00.000,model,621779.7896977897
247,2023-09-05T00:00:00.000,model,13740933.533278298
248,2023-09-06T00:00:00.000,model,4952703.788157191
249,2023-09-07T00:00:00.000,model,2038319.3999530969
250,2023-09-08T00:00:00.000,model,910809.1192193681
251,2023-09-09T00:00:00.000,model,419906.2523901956
252,2023-09-10T00:00:00.000,model,7671586.742452751
253,2023-09-11T00:00:00.000,model,2339035.4877563734
254,2023-09-12T00:00:00.000,model,1008661.4031678862
255,2023-09-13T00:00:00.000,model,1202430.5273534446
256,2023-09-14T00:00:00.000,model,26598956.772846144
257,2023-09-15T00:00:00.000,model,11212737.15689029
258,2023-09-16T00:00:00.000,model,4298153.023792909
259,2023-09-17T00:00:00.000,model,12366461.117937502
260,2023-09-18T00:00:00.000,model,6283592.354290964
261,2023-09-19T00:00:00.000,model,3958472.7345409575
262,2023-09-20T00:00:00.000,model,1572071.903571122
263,2023-09-21T00:00:00.000,model,8187578.132085264
264,2023-09-22T00:00:00.000,model,16054381.067669157
265,2023-09-23T00:00:00.000,model,5219695.686243513
266,2023-09-24T00:00:00.000,model,2279875.72791086
267,2023-09-25T00:00:00.000,model,1032410.4807931418
268,2023-09-26T00:00:00.000,model,479891.89481769403
269,2023-09-27T00:00:00.000,model,227350.25622938643
270,2023-09-28T00:00:00.000,model,109062.59388301427
271,2023-09-29T00:00:00.000,model,52738.961501861464
272,2023-09-30T00:00:00.000,model,25631.578285667463
273,2023-10-01T00:00:00.000,model,12496.319504903659
274,2023-10-02T00:00:00.000,model,6104.250400880774
275,2023-10-03T00:00:00.000,model,3046.14220364396
276,2023-10-04T00:00:00.000,model,1490.9045256985585
277,2023-10-05T00:00:00.000,model,730.0316713661991
278,2023-10-06T00:00:00.000,model,357.56205510160925
279,2023-10-07T00:00:00.000,model,175.15936783944002
280,2023-10-08T00:00:00.000,model,33631961.41129908
281,2023-10-09T00:00:00.000,model,16609462.172555782
282,2023-10-10T00:00:00.000,model,10563381.778913127
