day,daily_total_gdp,dam_storage,downstream_storage,upstream_storage,river_discharge_downstream,houses_damaged_by_inundation,financial_damage_by_innundation,financial_damage_by_flood
82,5208713285.242352,41723567.35755996,1610459.0100500006,12734328.0800684,9391416.47256479,0.0,0.0,0.0
83,5208710778.128201,41914582.278760985,9040832.478430003,14250700.105340786,13252884.833324766,0.0,0.0,0.0
84,5208708271.01405,42128342.780341096,1585587.1562699983,8457550.800703641,6221715.483448612,0.0,0.0,0.0
85,5208705763.899899,42255206.04235165,2342412.41779,6226774.470074693,4952207.4786514295,0.0,0.0,0.0
86,5208703256.785748,42348607.659402765,9716375.8078,11609069.536783602,11937868.583260609,0.0,0.0,0.0
87,5208700749.671597,42522743.70245452,307486.14488230087,6036292.983843903,4202329.013578662,0.0,0.0,0.0
88,5208698242.557446,42613288.09721218,14038609.667030001,15287780.26750112,16327648.308025124,0.0,0.0,0.0
89,5208695735.443295,42842604.8012247,4069560.1237540003,11180092.903149644,9413569.685146702,0.0,0.0,0.0
90,5208693228.329144,43010306.194771945,3258289.715014,8392756.465881383,6916560.281168807,0.0,0.0,0.0
91,5208690721.214993,43136197.54176017,2449372.32932,6307555.507184207,5135887.296507842,0.0,0.0,0.0
92,5208688214.1008415,43230810.87436793,2509151.2929430003,5317465.396628469,4528333.833751858,0.0,0.0,0.0
93,5208685706.9866905,43310572.855317354,2178435.386523,4527272.836605346,3900368.496067408,0.0,0.0,0.0
94,5208683199.8725395,43378481.94786643,697414.7404815,2829138.7557786196,2128114.299775475,0.0,0.0,0.0
95,5208680692.7583885,43420919.02920311,6406458.642440001,6996863.732251523,7467051.248075693,0.0,0.0,0.0
96,5208678185.644237,43525871.98518688,727723.4651854001,4102724.1981240683,3124699.5906898836,0.0,0.0,0.0
97,5208675678.530086,43587412.84815875,256263.22563649993,2234762.5604627933,1520222.805264828,0.0,0.0,0.0
98,5208673171.415935,43620934.28656569,1120485.0740450001,2076321.1226867689,1799598.903906545,0.0,0.0,0.0
99,5208670664.3017845,43652079.10340599,29915731.276349995,27216704.13191651,31577832.903946042,0.0,0.0,0.0
100,5208668157.187633,44060329.66538474,5382459.416699525,14235163.942503482,12715270.293334913,0.0,0.0,0.0
101,5208665650.073482,44273857.12452229,956926.8538174005,7899526.575469186,5863253.419280596,0.0,0.0,0.0
102,5208663142.959331,44392350.023154326,1489889.5391269997,5191314.833685556,3956154.341005167,0.0,0.0,0.0
103,5208660635.84518,44470219.74565961,584277.8915414999,3055437.4504279224,2146073.240246144,0.0,0.0,0.0
104,5208658128.731029,44516051.30741603,191182.46031290008,1664596.257446882,1074702.8374977682,0.0,0.0,0.0
105,5208655621.616878,44541020.25127773,163329.5972494,958691.3646681722,5082986.311703956,0.0,0.0,0.0
106,5208653114.502727,40101298.59661998,1339602.7517884998,1642942.9752054042,1648921.9872903167,0.0,0.0,0.0
107,5208650607.388576,40125942.74124806,513770.10154239996,1254986.6164938482,1066450.4775619751,0.0,0.0,0.0
108,5208648100.274424,40144767.54049546,729580.8937285999,1253888.6672667856,1147567.7681792886,0.0,0.0,0.0
109,5208645593.160273,40163575.87050446,2189090.927445,2531546.1062207255,2663377.9463826614,0.0,0.0,0.0
110,5208643086.046122,40201549.06209777,512236.10210600006,1689058.7196561554,1380712.775402418,0.0,0.0,0.0
111,5208640578.931971,40226884.94289262,454946.62707700004,1226067.4836675161,997941.0735169002,0.0,0.0,0.0
112,5208638071.81782,40245275.95514763,688734.2504648,1203946.0181234828,1086978.6580768356,0.0,0.0,0.0
113,5208635564.703669,40263335.145419486,138316.2108462,711066.7683021065,523030.89407292556,0.0,0.0,0.0
114,5208633057.589518,40274001.146944016,376456.14953369997,678111.8041396323,600314.1828968228,0.0,0.0,0.0
115,5208630550.475367,40284172.82400611,38610730.11434,34146402.67514841,40143379.18010934,0.0,0.0,0.0
116,5208628043.361216,40796368.864133336,26070677.27071441,33535705.827914868,35239432.06485063,0.0,0.0,0.0
117,5208625536.247065,41299404.451552056,5922197.619955901,18879038.957071286,16156897.949918877,0.0,0.0,0.0
118,5208623029.132914,41582590.035908125,3520082.74634,12470115.611171342,9916588.610779949,0.0,0.0,0.0
119,5208620522.018763,41769641.770075694,587827.363324,6685493.7482583085,4469694.599495834,0.0,0.0,0.0
120,5208618014.904612,41869924.17629957,20716.870829629945,3294035.1553234113,1929705.9955060408,0.0,0.0,0.0
121,5208615507.79046,41919334.70362943,168.56938485920182,1614224.8541569773,880915.2617750196,0.0,0.0,0.0
122,5208613000.67631,41943548.07644178,7677.915494657,797694.2683353949,420952.0868464083,0.0,0.0,0.0
123,5208610493.562159,41955513.49046681,1761.969596815,392413.2719987635,200979.36765105714,0.0,0.0,0.0
124,5208607986.448007,41961399.68954679,9551.63108585,200647.53740719412,106187.2156717547,0.0,0.0,0.0
125,5208605479.333856,41964409.4026079,9868631.772843,8740971.184853524,10255889.325190652,0.0,0.0,0.0
126,5208602972.219706,42095523.97038071,15533840.22011,17936607.621837765,19154108.534918025,0.0,0.0,0.0
127,5208600465.105555,42364573.08470827,7737128.446820974,15432239.501022467,14019626.176820397,0.0,0.0,0.0
128,5208597957.991403,42596056.67722361,1134604.5654603997,8648748.136222837,6214747.986619877,0.0,0.0,0.0
129,5208595450.877252,42725787.89926695,845411.6128924,5006837.818422841,3455609.7686441783,0.0,0.0,0.0
130,5208592943.763101,42800890.466543294,10364947.0383,11535786.620559301,12150146.99352275,0.0,0.0,0.0
131,5208590436.648951,42973927.265851684,1128565.1876260005,6686724.964457492,5038830.267381331,0.0,0.0,0.0
132,5208587929.534799,43074228.14031854,59111.022345939884,3328262.9060640913,2095472.6761422786,0.0,0.0,0.0
133,5208585422.420648,43124152.083909504,154618.9926835,1766259.5343494047,1090354.4204360254,0.0,0.0,0.0
134,5208582915.306497,43150645.97692475,42140.81601567,902372.8438547683,520641.15888996184,0.0,0.0,0.0
135,5208580408.192346,43164181.56958257,1125021.4882786,1427423.0180736366,1399374.5438625664,0.0,0.0,0.0
136,5208577901.078194,43185592.91485367,323851.2143172999,983056.5304524819,793084.4083208495,0.0,0.0,0.0
137,5208575393.964043,43200338.762810454,30966.42818584002,508817.17577483616,333711.7934900443,0.0,0.0,0.0
138,5208572886.849893,43207971.020447075,204191.3121829,428145.0880268697,355614.44498962245,0.0,0.0,0.0
139,5208570379.735742,43214393.19676748,631800.1616646,763102.8643659661,782642.6738375807,0.0,0.0,0.0
140,5208567872.62159,43225839.739732966,17189976.321970005,15428389.875499323,18030988.070478737,0.0,0.0,0.0
141,5208565365.507439,43457265.58786546,33093105.079899117,35956141.41560073,39260321.34856238,0.0,0.0,0.0
142,5208562858.393288,43996607.70909947,12837471.81343564,24296750.52886931,22831892.881987788,0.0,0.0,0.0
143,5208560351.279137,44361058.967032515,497594.7019449994,12492953.95036143,8795530.863362364,0.0,0.0,0.0
144,5208557844.164986,44548453.276287936,509.90328978036996,6150586.973807898,8217903.8070221385,0.0,0.0,0.0
145,5208555337.050835,40185866.75326626,38281.629338139996,3047313.52839539,1735243.5128794885,0.0,0.0,0.0
146,5208552829.936684,40231576.45619219,18981203.239780005,18116356.30595374,20428948.645251866,0.0,0.0,0.0
147,5208550322.822533,40503321.800781496,11694479.755011752,18084074.589293186,17674176.432043362,0.0,0.0,0.0
148,5208547815.708382,40774582.919620894,5186187.454950001,13507513.989111144,11457522.24262447,0.0,0.0,0.0
149,5208545308.59423,40977195.62945756,104.49775923136622,6641163.733604873,4263310.542557943,0.0,0.0,0.0
150,5208542801.480079,41076813.08546164,1695.228155175,3255654.8598132874,1892720.9826693183,0.0,0.0,0.0
151,5208540294.365929,41125647.908358835,2475730.7650769996,3763442.176344511,3428134.3275972824,0.0,0.0,0.0
152,5208537787.251778,41182099.541004,10107449.648765001,10695890.143428814,11623473.478376335,0.0,0.0,0.0
153,5208535280.137626,41342537.89315543,11371857.940267,15260831.916242775,15425799.191073254,0.0,0.0,0.0
154,5208532773.023475,41571450.371899076,802404.7545519993,8231627.289394038,5946610.15539606,0.0,0.0,0.0
155,5208530265.909325,41694924.78123999,141689.7745067001,4157585.0578386784,2622593.5570563446,0.0,0.0,0.0
156,5208527758.795173,41757288.55710757,16127579.075199999,16161270.271940952,17837623.98294107,0.0,0.0,0.0
157,5208525251.681022,41999707.61118668,37893448.824756294,40809365.169310406,44496233.90787361,0.0,0.0,0.0
158,5208522744.566871,42611848.08872634,7984258.167603947,21210177.05309183,18677247.953055866,0.0,0.0,0.0
159,5208520237.45272,42930000.74452272,17965.220113940537,10526456.021585481,7201250.964253544,0.0,0.0,0.0
160,5208517730.338569,43087897.584846504,56677.812834899996,5211100.348283593,3189214.842409924,0.0,0.0,0.0
161,5208515223.224418,43166064.090070754,20372.48533625,2571280.7867739606,1453341.7098850955,0.0,0.0,0.0
162,5208512716.110267,43204633.301872365,220225.20794730005,1452794.2659556407,899019.6316354781,0.0,0.0,0.0
